0,66408
1,23647
2,31364
3,55325
4,10892
5,35771
6,30984
7,9999
8,73727
9,10468
10,317
11,9214
12,3
13,118
14,1125
15,2
16,390
17,6
18,6
19,302
20,2
21,2
22,2
23,2
24,2
25,3
26,2
27,66
28,3
29,6
30,3
31,198
32,2
33,4
34,20
35,28
36,3
37,2
38,2
39,8
40,15
41,4
42,3
43,12
44,2
45,3
46,22
47,3
48,2
49,3
50,22
51,2
52,16
53,24
54,3
55,7
56,5
57,2
58,3
59,2
60,2
61,3
62,3
63,2
64,4
65,28
66,2
67,52
68,5
69,2
70,2
71,6
72,5
73,2
74,2
75,11
76,2
77,2
78,2
79,36
80,2
81,2
82,5
83,3
84,2
85,2
86,3
87,2
88,2
89,5
90,11
91,24
92,3
93,2
94,2
95,3
96,2
97,22
98,2
99,20
100,28
101,2
102,2
103,2
104,10
105,6
106,10
107,8
108,2
109,2
110,2
111,3
112,2
113,2
114,5
115,2
116,8
117,3
118,4
119,2
120,11
121,3
122,2
123,2
124,2
125,2
126,12
127,3
128,6
129,3
130,2
131,2
132,2
133,2
134,3
135,2
136,2
137,2
138,2
139,2
140,5
141,2
142,5
143,9
144,2
145,2
146,2
147,2
148,8
149,2
150,5
151,3
152,6
153,2
154,2
155,2
156,2
157,5
158,2
159,2
160,2
161,2
162,2
163,2
164,3
165,6
166,3
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,7
178,2
179,2
180,7
181,2
182,3
183,2
184,3
185,2
186,2
187,3
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,5
199,5
200,2
201,2
202,2
203,2
204,2
205,4
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,9
214,2
215,2
216,2
217,4
218,2
219,2
220,2
221,3
222,3
223,2
224,2
225,2
226,3
227,2
228,3
229,2
230,5
231,2
232,2
233,3
234,3
235,2
236,4
237,2
238,2
239,2
240,2
241,2
242,2
243,4
244,2
245,7
246,2
247,2
248,2
249,2
250,3
251,2
252,2
253,2
254,2
255,2
256,2
257,5
258,4
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,3
268,2
269,3
270,3
271,2
272,2
273,2
274,4
275,2
276,2
277,2
278,2
279,2
280,2
281,5
282,2
283,2
284,5
285,2
286,2
287,3
288,2
289,2
290,2
291,2
292,2
293,2
294,3
295,4
296,3
297,2
298,2
299,3
300,2
301,3
302,2
303,2
304,3
305,2
306,2
307,3
308,3
309,2
310,2
311,2
312,2
313,3
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,3
324,2
325,4
326,2
327,3
328,4
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,3
342,2
343,3
344,2
345,2
346,3
347,2
348,4
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
